SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
001-00015,001-000152,2016-07-07,LABO,0.0,1.0
001-00015,001-000152,2016-07-07,LACI,3.0,1.607e-4
001-00015,001-000152,2016-07-07,LANO,0.0,1.0
001-00015,001-000152,2016-07-07,MYLU,0.0,1.0
001-00015,001-000152,2016-07-07,MYSE,1.0,0.0223159
001-00015,001-000152,2016-07-07,NYHU,6.0,1.014e-4
001-00015,001-000152,2016-07-07,PESU,0.0,1.0
001-00015,001-000152,2016-07-08,EPFU,1.0,0.2127139
001-00015,001-000152,2016-07-08,LABO,1.0,0.1128353
001-00015,001-000152,2016-07-08,LACI,1.0,0.2013981
001-00015,001-000152,2016-07-08,LANO,0.0,1.0
001-00015,001-000152,2016-07-08,MYLU,0.0,1.0
001-00015,001-000152,2016-07-08,MYSE,0.0,1.0
001-00015,001-000152,2016-07-08,NYHU,1.0,0.6659335
001-00015,001-000152,2016-07-08,PESU,0.0,1.0
001-00015,001-000152,2016-07-09,EPFU,2.0,0.016193
001-00015,001-000152,2016-07-09,LABO,0.0,1.0
001-00015,001-000152,2016-07-09,LACI,0.0,1.0
001-00015,001-000152,2016-07-09,LANO,0.0,1.0
001-00015,001-000152,2016-07-09,MYLU,0.0,1.0
001-00015,001-000152,2016-07-09,MYSE,13.0,0.0
001-00015,001-000152,2016-07-09,NYHU,1.0,0.2173463
001-00015,001-000152,2016-07-09,PESU,0.0,1.0
001-00015,001-000152,2016-07-10,EPFU,6.0,7.244e-4
001-00015,001-000152,2016-07-10,LABO,0.0,1.0
001-00015,001-000152,2016-07-10,LACI,0.0,1.0
001-00015,001-000152,2016-07-10,LANO,4.0,0.2435154
001-00015,001-000152,2016-07-10,MYLU,0.0,1.0
001-00015,001-000152,2016-07-10,MYSE,1.0,0.0240645
001-00015,001-000152,2016-07-10,NYHU,0.0,1.0
001-00015,001-000152,2016-07-10,PESU,0.0,1.0
001-00017,001-000171,2016-07-04,EPFU,9.0,2.8e-6
001-00017,001-000171,2016-07-04,LABO,2.0,0.310511
001-00017,001-000171,2016-07-04,LACI,12.0,0.0
001-00017,001-000171,2016-07-04,LANO,1.0,1.0
001-00017,001-000171,2016-07-04,MYLU,0.0,1.0
001-00017,001-000171,2016-07-04,MYSE,0.0,1.0
001-00017,001-000171,2016-07-04,NYHU,18.0,0.0
