can_depnum,can_story,can_loc,can_closure
027391,Canopy,Mic,2
027391,Canopy,Q1,5
027391,Canopy,Q2,1
027391,Canopy,Q3,1
027391,Canopy,Q4,1
027392,Midstory,Mic,1
027392,Midstory,Q1,2
027392,Midstory,Q2,1
027392,Midstory,Q3,4
027392,Midstory,Q4,5
027392,Canopy,Mic,1
027392,Canopy,Q1,2
027392,Canopy,Q2,1
027392,Canopy,Q3,1
027392,Canopy,Q4,3
027261,Midstory,Mic,1
027261,Midstory,Q1,3
027261,Midstory,Q2,1
027261,Midstory,Q3,1
027261,Midstory,Q4,1
027261,Canopy,Mic,1
027261,Canopy,Q1,1
027261,Canopy,Q2,1
027261,Canopy,Q3,1
027261,Canopy,Q4,1
027262,Midstory,Mic,1
027262,Midstory,Q1,1
027262,Midstory,Q2,1
027262,Midstory,Q3,2
027262,Midstory,Q4,5
027262,Canopy,Mic,1
027262,Canopy,Q1,1
027262,Canopy,Q2,1
027262,Canopy,Q3,1
027262,Canopy,Q4,1
028062,Midstory,Mic,1
028062,Midstory,Q1,3
028062,Midstory,Q2,1
028062,Midstory,Q3,1
028062,Midstory,Q4,5
028062,Canopy,Mic,1
028062,Canopy,Q1,3
028062,Canopy,Q2,1
028062,Canopy,Q3,1
028062,Canopy,Q4,2
028061,Midstory,Mic,1
028061,Midstory,Q1,5
028061,Midstory,Q2,2
028061,Midstory,Q3,1
028061,Midstory,Q4,1
028061,Canopy,Mic,1
028061,Canopy,Q1,1
028061,Canopy,Q2,1
028061,Canopy,Q3,1
028061,Canopy,Q4,1
025952,Midstory,Mic,1
025952,Midstory,Q1,5
025952,Midstory,Q2,5
025952,Midstory,Q3,5
025952,Midstory,Q4,1
025952,Canopy,Mic,1
025952,Canopy,Q1,5
025952,Canopy,Q2,5
025952,Canopy,Q3,5
025952,Canopy,Q4,1
025951,Midstory,Mic,2
025951,Midstory,Q1,4
025951,Midstory,Q2,1
025951,Midstory,Q3,4
025951,Midstory,Q4,1
025951,Canopy,Mic,5
025951,Canopy,Q1,5
025951,Canopy,Q2,1
025951,Canopy,Q3,5
025951,Canopy,Q4,1
029631,Midstory,Mic,1
029631,Midstory,Q1,3
029631,Midstory,Q2,2
029631,Midstory,Q3,3
029631,Midstory,Q4,1
029631,Canopy,Mic,1
029631,Canopy,Q1,2
029631,Canopy,Q2,2
029631,Canopy,Q3,2
029631,Canopy,Q4,1
029632,Midstory,Mic,3
029632,Midstory,Q1,2
029632,Midstory,Q2,2
029632,Midstory,Q3,2
029632,Midstory,Q4,3
029632,Canopy,Mic,5
029632,Canopy,Q1,5
029632,Canopy,Q2,1
029632,Canopy,Q3,2
029632,Canopy,Q4,3
026011,Midstory,Mic,2
026011,Midstory,Q1,5
026011,Midstory,Q2,5
026011,Midstory,Q3,5
026011,Midstory,Q4,2
026011,Canopy,Mic,2
026011,Canopy,Q1,5
026011,Canopy,Q2,5
026011,Canopy,Q3,5
026011,Canopy,Q4,5
026012,Midstory,Mic,1
026012,Midstory,Q1,5
026012,Midstory,Q2,5
026012,Midstory,Q3,1
026012,Midstory,Q4,1
026012,Canopy,Mic,1
026012,Canopy,Q1,4
026012,Canopy,Q2,5
026012,Canopy,Q3,1
026012,Canopy,Q4,1
028891,Midstory,Mic,1
028891,Midstory,Q1,5
028891,Midstory,Q2,5
028891,Midstory,Q3,1
028891,Midstory,Q4,2
028891,Canopy,Mic,4
028891,Canopy,Q1,5
028891,Canopy,Q2,4
028891,Canopy,Q3,2
028891,Canopy,Q4,2
028892,Midstory,Mic,1
028892,Midstory,Q1,1
028892,Midstory,Q2,1
028892,Midstory,Q3,1
028892,Midstory,Q4,5
028892,Canopy,Mic,1
028892,Canopy,Q1,3
028892,Canopy,Q2,2
028892,Canopy,Q3,4
028892,Canopy,Q4,5
026962,Midstory,Mic,1
026962,Midstory,Q1,4
026962,Midstory,Q2,5
026962,Midstory,Q3,1
026962,Midstory,Q4,5
026962,Canopy,Mic,5
026962,Canopy,Q1,4
026962,Canopy,Q2,5
026962,Canopy,Q3,1
026962,Canopy,Q4,4
026961,Midstory,Mic,2
026961,Midstory,Q1,4
026961,Midstory,Q2,1
026961,Midstory,Q3,2
026961,Midstory,Q4,5
026961,Canopy,Mic,2
026961,Canopy,Q1,4
026961,Canopy,Q2,1
026961,Canopy,Q3,5
026961,Canopy,Q4,5
030211,Midstory,Mic,1
030211,Midstory,Q1,1
030211,Midstory,Q2,5
030211,Midstory,Q3,1
030211,Midstory,Q4,1
030211,Canopy,Mic,1
030211,Canopy,Q1,1
030211,Canopy,Q2,5
030211,Canopy,Q3,3
030211,Canopy,Q4,1
030212,Midstory,Mic,1
030212,Midstory,Q1,1
030212,Midstory,Q2,5
030212,Midstory,Q3,5
030212,Midstory,Q4,1
030212,Canopy,Mic,1
030212,Canopy,Q1,1
030212,Canopy,Q2,5
030212,Canopy,Q3,1
030212,Canopy,Q4,1
028371,Midstory,Mic,1
028371,Midstory,Q1,3
028371,Midstory,Q2,1
028371,Midstory,Q3,1
028371,Midstory,Q4,3
028371,Canopy,Mic,2
028371,Canopy,Q1,3
028371,Canopy,Q2,1
028371,Canopy,Q3,1
028371,Canopy,Q4,4
028372,Midstory,Mic,1
028372,Midstory,Q1,1
028372,Midstory,Q2,1
028372,Midstory,Q3,1
028372,Midstory,Q4,1
028372,Canopy,Mic,1
028372,Canopy,Q1,1
028372,Canopy,Q2,1
028372,Canopy,Q3,1
028372,Canopy,Q4,5
026172,Midstory,Mic,5
026172,Midstory,Q1,5
026172,Midstory,Q2,5
026172,Midstory,Q3,4
026172,Midstory,Q4,5
026172,Canopy,Mic,4
026172,Canopy,Q1,4
026172,Canopy,Q2,5
026172,Canopy,Q3,5
026172,Canopy,Q4,4
026171,Midstory,Mic,1
026171,Midstory,Q1,5
026171,Midstory,Q2,1
026171,Midstory,Q3,2
026171,Midstory,Q4,2
026171,Canopy,Mic,3
026171,Canopy,Q1,3
026171,Canopy,Q2,1
026171,Canopy,Q3,5
026171,Canopy,Q4,4
026811,Midstory,Mic,1
026811,Midstory,Q1,1
026811,Midstory,Q2,3
026811,Midstory,Q3,2
026811,Midstory,Q4,4
026811,Canopy,Mic,1
026811,Canopy,Q1,2
026811,Canopy,Q2,5
026811,Canopy,Q3,1
026811,Canopy,Q4,1
026812,Midstory,Mic,1
026812,Midstory,Q1,5
026812,Midstory,Q2,1
026812,Midstory,Q3,2
026812,Midstory,Q4,5
026812,Canopy,Mic,1
026812,Canopy,Q1,4
026812,Canopy,Q2,5
026812,Canopy,Q3,5
026812,Canopy,Q4,5
027931,Midstory,Mic,2
027931,Midstory,Q1,2
027931,Midstory,Q2,5
027931,Midstory,Q3,3
027931,Midstory,Q4,1
027931,Canopy,Mic,3
027931,Canopy,Q1,2
027931,Canopy,Q2,3
027931,Canopy,Q3,5
027931,Canopy,Q4,1
027932,Midstory,Mic,1
027932,Midstory,Q1,5
027932,Midstory,Q2,5
027932,Midstory,Q3,1
027932,Midstory,Q4,1
027932,Canopy,Mic,5
027932,Canopy,Q1,5
027932,Canopy,Q2,5
